file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-04-07-16-10-17.468706_6t6oh94iyv,7331.100000023842,"{""Participant ID"":""003""}",survey-text,0,7441,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,482318,NA,instructions,1,489773,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":482317.8000000119}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,5433.200000047684,NA,instructions,2,495459,0.0-0.0-2.0,"[{""page_index"":0,""viewing_time"":5433}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,2966.600000023842,NA,instructions,3,498676,0.0-0.0-3.0,"[{""page_index"":0,""viewing_time"":2966.400000035763}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,1381.300000011921,NA,instructions,4,500310,0.0-0.0-4.0,"[{""page_index"":0,""viewing_time"":1381.199999988079}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,3299.600000023842,NA,instructions,5,503862,0.0-0.0-5.0,"[{""page_index"":0,""viewing_time"":3299.5}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,2364.399999976158,NA,instructions,6,506478,0.0-0.0-6.0,"[{""page_index"":0,""viewing_time"":2364.100000023842}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,1999.6000000238419,NA,instructions,7,508730,0.0-0.0-7.0-0.0,"[{""page_index"":0,""viewing_time"":1999.3999999761581}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,8,511295,0.0-0.0-7.0-1.0,NA,resource/audio/airstrip_US.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,9,513258,0.0-0.0-7.0-2.0,NA,resource/audio/airstrip_TR.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,10,516095,0.0-0.0-7.0-3.0,NA,resource/audio/airstrip_NZ.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,2752.199999988079,NA,audio-button-response,11,519100,0.0-0.0-7.0-4.0,NA,resource/audio/blank.mp3,1,"airstrip_TR.mp3,airstrip_NZ.mp3",NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,1065.300000011921,NA,instructions,12,520416,0.0-0.0-7.0-5.0,"[{""page_index"":0,""viewing_time"":1065.1000000238419}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,13,522921,0.0-0.0-7.0-6.0,NA,resource/audio/lion_US.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,14,526527,0.0-0.0-7.0-7.0,NA,resource/audio/lion_NZ.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,15,528660,0.0-0.0-7.0-8.0,NA,resource/audio/lion_TR.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,1256.5,NA,audio-button-response,16,530169,0.0-0.0-7.0-9.0,NA,resource/audio/blank.mp3,1,"lion_NZ.mp3,lion_TR.mp3",NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,1132.4000000357628,NA,instructions,17,531553,0.0-0.0-7.0-10.0,"[{""page_index"":0,""viewing_time"":1132.300000011921}]",NA,NA,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,18,533140,0.0-0.0-7.0-11.0,NA,resource/audio/butterfly_US.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,19,536234,0.0-0.0-7.0-12.0,NA,resource/audio/butterfly_NZ.mp3,null,NA,NA
data_2025-04-07-16-10-17.468706_6t6oh94iyv,null,NA,audio-button-response,20,538090,0.0-0.0-7.0-13.0,NA,resource/audio/butterfly_TR.mp3,null,NA,NA
